ref;ano;artigo
1;2017;"MARTEIS, L. S.; NATAL, D.; SALLUM, M. A. M.; MEDEIROS-SOUSA, A. R.; CORTE, R. La. Mosquitoes of the Caatinga: 2. Species from periodic sampling of bromeliads and tree holes in a dry Brazilian forest. Acta Tropica, v. 171, p. 114–123, 2017. Disponível em: <http://dx.doi.org/10.1016/j.actatropica.2017.03.031>."
2;2018;"LA CORTE, R.; MAIA, P. C. R.; DOLABELLA, S. S.; CRUZ, D. E. R.; MARTEIS, L. S. Mosquitoes of the Caatinga. III. Larval Habitats, Frequency, and Dynamics of Immature and Adult Stages in a Dry Brazilian Forest. Journal of Medical Entomology, v. 56, n. 1, p. 120–128, 2018."
3;2017;"MARTEIS, L. S.; NATAL, D.; SALLUM, M. A. M.; MEDEIROS?SOUSA, A. R.; OLIVEIRA, T. M. P.; LA CORTE, R. Mosquitoes of the Caatinga: 1. Adults stage survey and the emerge of seven news species endemic of a dry tropical forest in Brazil. Acta Tropica, v. 166, p. 193–201, 2017. Disponível em: <http://dx.doi.org/10.1016/j.actatropica.2016.11.022>."
4;2017;Ferreira-De-Freitas, V., R. M. Françã, L. C. Bartholomay, C. B. Marcondes, and H. Savage. 2018. Contribution to the Biodiversity Assessment of Mosquitoes (Diptera: Culicidae) in the Atlantic Forest in Santa Catarina, Brazil. Journal of Medical Entomology 54:368–376.
5;2018;"DA SILVA, C. J.; PEREIRA, S. V.; APOLINÁRIO, E. J.; DOS SANTOS, G. L.; MELO-SANTOS, M. A. V.; DA SILVA, A. F.; WALLAU, G. L.; DE OLIVEIRA, C. M. F. Culicidae fauna (Diptera: Culicidae) survey in urban, ecotonal and forested areas, from the Moreno municipality - Pernambuco State, Brazil. Revista da Sociedade Brasileira de Medicina Tropical, v. 51, n. 4, p. 523–527, 2018."
6;2000;"ALBUQUERQUE, C. M. de; MELO-SANTOS, M. A. V; BEZERRA, M. A. S.; BARBOSA, R. M.; SILVA, D. F.; SILVA, E. da. Primeiro registro de Aedes albopictus em área da Mata Atlântica, Recife, PE, Brasil. Revista de Saúde Pública, v. 34, n. 5, p. 3–5, 2000."
7;2010;"ARAGÃO, N. C.; MÜLLER, G. A.; BALBINO, V. Q.; COSTA JUNIOR, C. R. L.; FIGUEIRÊDO JÚNIOR, C. S.; ALENCAR, J.; MARCONDES, C. B. A list of mosquito species of the Brazilian State of Pernambuco, including the first report of Haemagogus janthinomys (Diptera: Culicidae), yellow fever vector and 14 other species (Diptera: Culicidae). Revista da Sociedade Brasileira de Medicina Tropical, v. 43, n. 4, p. 458–459, 2010."
8;2012;Morais, S. A., P. R. Urbinatti, M. A. M. Sallum, A. A. Kuniy, G. G. Moresco, A. Fernandes, S. S. Nagaki, and D. Natal. 2012. Fauna brasileira de mosquitos (Diptera: Culicidae). I. Espécies de Anopheles de Porto Velho, estado de Rondônia, oeste da Amazônia, Brasil. Revista do Instituto de Medicina Tropical de Sao Paulo 54:331–335.
9;2010;"TORREIAS, S. R. da S.; FERREIRA-KEPPLER, R. L.; GODOY, B. S.; HAMADA, N. Mosquitoes (Diptera, Culicidae) inhabiting foliar tanks of Guzmania brasiliensis Ule (Bromeliaceae) in central Amazonia, Brazil. Revista Brasileira de Entomologia, v. 54, n. 4, p. 618–623, 2010. "
10;2009;"MOCELLIN, M. G.; SIMÕES, T. C.; DO NASCIMENTO, T. F. S.; TEIXEIRA, M. L. F.; LOUNIBOS, L. P.; DE OLIVEIRA, R. L. Bromeliad-inhabiting mosquitoes in an urban botanical garden of dengue endemic Rio de Janeiro - Are bromeliads productive habitats for the invasive vectors Aedes aegypti and Aedes albopictus? Memorias do Instituto Oswaldo Cruz, v. 104, n. 8, p. 1171–1176, 2009."
11;2007;"MÜLLER, G.; MARCONDES, C. Immature mosquitoes (Diptera: Culicidae) on the bromeliad Nidularium innocentii in ombrophilous dense forest of Santa Catarina Island, Florianópolis, Santa Catarina State, southern Brazi. Biotemas, v. 20, n. 2, p. 27–31, 2007."
12;2002;"HUTCHINGS, R. S. G.; SALLUM, M. A. M.; FERREIRA, R. L. M. Culicidae (Diptera: Culicomorpha) da Amazônia Ocidental Brasileira: Querari. Acta Amazonica, v. 32, n. 1, p. 109–122, 2002."
13;2003;"MARCONDES, C. B.; FERNANDES, A.; PATERNO, U.; MÜLLER, G. A.; DE PINHO, L. C.; STRUFFALDI, D. V. New records of mosquitoes from the southern Brazilian States of Santa Catarina and Rio Grande do Sul, with 18 species new for the States (Diptera: Culicidae). Zootaxa, v. 347, n. 1, p. 1, 2003."
14;2012;"MARQUES, T. C.; BOURKE, B. P.; LAPORTA, G. Z.; SALLUM, M. A. M. Mosquito (Diptera: Culicidae) assemblages associated with Nidularium and Vriesea bromeliads in Serra do Mar, Atlantic Forest, Brazil. Parasites and Vectors, v. 5, n. 1, p. 1–9, 2012."
